Ranking,User,Model,Results,Mean Reward,Std Reward
1,satcos,satcos/ppo-LunarLander-v2,348.96999999999997,369.4,20.43
2,a6687543,a6687543/ppo-LunarLander-v2,315.10999999999996,321.58,6.47
3,DeathReaper0965,DeathReaper0965/ppo-mlp-LunarLander-v2,310.76,330.99,20.23
4,yusha17,yusha17/ppo-LunarLander-v2,306.62,315.81,9.19
5,jostyposty,jostyposty/drl-course-unit-01-lunar-lander-v2,305.38,311.61,6.23
6,gabruarya,gabruarya/ppo-LunarLander-v2,304.48,312.49,8.01
7,mbertheau,mbertheau/hf-drl-course-1-ppo-LunarLander-v2_1,302.38,312.32,9.94
8,vukpetar,vukpetar/ppo-LunarLander-v3,301.57,308.68,7.11
9,vukpetar,vukpetar/ppo-LunarLander-v2,301.23999999999995,311.4,10.16
10,Classroom-workshop,Classroom-workshop/assignment2-francesco,301.23999999999995,311.4,10.16
11,ironbar,ironbar/the-eagle-has-landed,300.56,307.08,6.52
12,utkusaglm,utkusaglm/ppo-lunarlander-v4,299.04,309.55,10.51
13,CzarnyRycerz,CzarnyRycerz/ppo-LunarLander-v2-trained-locally,297.3,310.89,13.59
14,NathanS-HuggingFace,NathanS-HuggingFace/LunarLander,297.11,308.5,11.39
15,jgalego,jgalego/ppo-LunarLander-v2-first-run,295.71999999999997,306.58,10.86
16,aj555,aj555/ppo-LunarLander-v2-first-run,295.71999999999997,306.58,10.86
17,manexpa,manexpa/RLcourse-ppo-LunarLander-v2,295.44,304.77,9.33
18,ironbar,ironbar/ppo-lunarlander-v2-local-train-bigger,295.03,302.71,7.68
19,monshinawatra,monshinawatra/ppo-LunarLander-v2,293.89,302.58,8.69
20,mcaoun,mcaoun/ppo-LunarLander-v2,293.37,303.73,10.36
21,msp3887,msp3887/ppo-LunarLander-v2,293.2,304.65,11.45
22,gabruarya,gabruarya/LunarLander,292.72,299.86,7.14
23,bqzhu,bqzhu/lunar,292.01,303.3,11.29
24,PaulMest,PaulMest/ppo-LunarLander-v2-first,291.96000000000004,302.91,10.95
25,Rendel,Rendel/ppo-LunarLander-v2-4u129Mco,291.94,301.38,9.44
26,AlEXRIN,AlEXRIN/first-agent,291.86,303.81,11.95
27,avoroshilov,avoroshilov/ppo-LunarLander-v2_128x128,291.5,304.02,12.52
28,OxeLine,OxeLine/ppo-LunarLander-v2-2,291.15999999999997,303.88,12.72
29,bartpotrykus,bartpotrykus/ppo-lunarlander-v2,290.78999999999996,302.96,12.17
30,ryandt,ryandt/LunarLander-v2,290.78,302.28,11.5
31,PranavHonrao,PranavHonrao/ppo-Lunarlander-v2,290.47,302.67,12.2
32,tripathysagar,tripathysagar/ppo-LunarLander-v2,289.82,300.43,10.61
33,StanKarz,StanKarz/PPO-LunarLander-v2-Try,289.53000000000003,299.66,10.13
34,EchoBomber,EchoBomber/ppo-LunarLander-v2,289.34999999999997,298.82,9.47
35,miki030,miki030/PPO-Lunar-v5,289.28,302.89,13.61
36,ironbar,ironbar/ppo-lunarlander-v2-local-train,289.18,301.16,11.98
37,Madao-314,Madao-314/RL_moon_landing,288.49,299.35,10.86
38,Sooyung,Sooyung/ppo-LunarLander-v2,288.36,297.29,8.93
39,Hatsu2004,Hatsu2004/ppo-LunarLander-v2,288.36,301.89,13.53
40,oliar,oliar/ppo-LunarLander-v2,288.33000000000004,302.85,14.52
41,Luca77,Luca77/LunarLander-3,287.94,301.77,13.83
42,davideaguglia,davideaguglia/PPO-LunarLander-v2,287.62,297.96,10.34
43,diskya,diskya/ppo-LunarLander-v2,287.51,301.7,14.19
44,abbiekeats,abbiekeats/ppo-LunarLander-v2,287.45,300.19,12.74
45,pdx97,pdx97/ppo-LunarLander-v2-Latest_Upadte,287.34000000000003,299.43,12.09
46,moczard,moczard/ppo-LunarLander-v2,287.19,297.29,10.1
47,shamiulshifat,shamiulshifat/ppo-LunarLander-v2,287.15999999999997,301.7,14.54
48,f4ken0name,f4ken0name/ppo-LunarLander-v2,286.83,297.89,11.06
49,cpcpatrick,cpcpatrick/ppo-LunarLander-v2,286.65999999999997,303.45,16.79
50,ramon,ramon/ppo-LunarLander-v2,286.47999999999996,306.14,19.66
51,ErinDelft,ErinDelft/ppo-LunarLander-v2,286.39,298.18,11.79
52,thien1892,thien1892/LunarLander-v2-ppo-v5,286.34000000000003,298.48,12.14
53,marleyshan21,marleyshan21/ppo-LunarLander-v2_try3,285.68,300.17,14.49
54,utkusaglm,utkusaglm/ppo-LunarLander-v0,285.59000000000003,300.41,14.82
55,qgallouedec,qgallouedec/utkusaglm-ppo-LunarLander-v0,285.59000000000003,300.41,14.82
56,franklee1015,franklee1015/ppo-LunarLander-v2,285.58,298.43,12.85
57,andresolbach,andresolbach/ppo-LunarLander-v2,285.39,299.4,14.01
58,Tunamelon,Tunamelon/ppo-LunarLander-v2,285.26,301.34,16.08
59,ra-XOr,ra-XOr/sphinx2,285.07,296.42,11.35
60,nguyennhusonars,nguyennhusonars/ppo-LunarLander-v2,285.03,293.53,8.5
61,CarlosGranados,CarlosGranados/ppo-LunarLander-v2,285.01000000000005,297.47,12.46
62,lanyingcyf,lanyingcyf/ppo-LunarLander-v2,284.78,300.88,16.1
63,dark-lord2002,dark-lord2002/ppo-LunarLander-v2,284.78,299.09,14.31
64,RaphaelReinauer,RaphaelReinauer/LunarLander-v6,284.71,298.88,14.17
65,Monal123,Monal123/ppo-LunarLander-v2,284.67,300.19,15.52
66,droid22,droid22/LunarLander-v2.1,284.54,292.68,8.14
67,FadySamy,FadySamy/ppo-LunarLander-v2,284.45,301.32,16.87
68,f1k,f1k/test_ppo-LunarLander-v2,284.27000000000004,302.16,17.89
69,CocosNucifera,CocosNucifera/ppo-LunarLander-v2.3,284.23,295.97,11.74
70,babujyan,babujyan/LunarLender,284.15,301.56,17.41
71,Gencayunluomer22,Gencayunluomer22/ppo-LunarLander-v2,284.08,298.95,14.87
72,marleyshan21,marleyshan21/ppo-LunarLander-v2_try2_2,283.89,294.71,10.82
73,TaTo69,TaTo69/ppo-LunarLander-v3,283.86,293.62,9.76
74,CrispyAlbumArt,CrispyAlbumArt/ppo-LunarLander-v4,283.85,296.41,12.56
75,ankandrew,ankandrew/ppo-LunarLander-v2,283.83,298.44,14.61
76,Asheron,Asheron/PPO-LunarLander-v2,283.82,298.78,14.96
77,Abdelrahman123,Abdelrahman123/ppo-LunarLander-v2,283.77,298.53,14.76
78,Karlpy,Karlpy/LunarLander-v2,283.71,296.84,13.13
79,gabruarya,gabruarya/ppo-LunarLander,283.65999999999997,296.07,12.41
80,ScrappyCoco666,ScrappyCoco666/ppo-LunarLander-v2-5,283.64,302.61,18.97
81,tashatsar,tashatsar/ppo-LunarLander-v2-updates,283.58,296.52,12.94
82,Yooniel,Yooniel/ppo-LunarLander-v2-2,283.58,297.07,13.49
83,daripaez,daripaez/ppo_3-Optuna-LunarLander-v2,283.53000000000003,294.3,10.77
84,Sadovnik123,Sadovnik123/ppo-LunarLander-v2,283.5,300.15,16.65
85,Nostradamused,Nostradamused/ppo-LunarLander-v2,283.35,298.36,15.01
